"ID" "CITY" "STATE" "ZIP" "Q050" "Q051" "Q052" "Q053" "Q054" "Q055" "Q056" "Q057" "Q058" "Q059" "Q060" "Q061" "Q062" "Q063" "Q064" "Q065" "Q066" "Q067" "Q068" "Q069" "Q070" "Q071" "Q072" "Q073" "Q074" "Q075" "Q076" "Q077" "Q078" "Q079" "Q080" "Q081" "Q082" "Q083" "Q084" "Q085" "Q086" "Q087" "Q088" "Q089" "Q090" "Q091" "Q092" "Q093" "Q094" "Q095" "Q096" "Q097" "Q098" "Q099" "Q100" "Q101" "Q102" "Q103" "Q104" "Q105" "Q106" "Q107" "Q109" "Q110" "Q111" "Q115" "Q117" "Q118" "Q119" "Q120" "Q121" "lat" "long"
18 "Chelmsford" "MA" "01824" 4 2 3 2 2 2 2 2 2 20 8 4 2 2 1 2 2 1 3 3 2 2 5 1 1 3 8 1 2 1 8 1 8 5 1 1 2 1 7 3 1 2 3 2 4 2 5 5 1 6 4 1 1 1 3 1 3 9 1 8 1 1 1 7 3 2 2 42.595491 -71.354402
20 "Duluth" "MN" "55812" 4 1 2 2 2 2 2 2 4 20 5 4 2 1 1 2 2 1 3 3 2 2 5 6 10 1 1 3 1 1 1 1 8 5 2 2 3 3 1 1 1 2 3 2 1 1 4 2 1 1 4 2 6 0 1 2 1 10 1 8 1 2 1 4 1 2 1 46.809438 -92.073198
21 "Randolph" "MA" "02368" 7 1 2 2 2 2 3 2 2 21 8 4 1 2 1 1 7 1 3 3 2 2 1 1 3 5 1 1 3 1 1 1 2 1 1 1 1 3 1 3 2 2 3 2 4 2 3 2 1 7 4 3 10 2 3 1 3 9 1 8 2 1 4 7 1 2 1 42.173417 -71.049124
22 "MortonGrove" "IL" "60053" 4 1 3 2 2 2 1 2 3 1 9 7 2 1 1 3 5 1 3 4 6 5 1 3 4 1 1 1 1 1 8 1 16 7 4 5 2 1 1 1 1 2 3 5 3 5 4 2 1 1 5 2 1 3 6 2 1 4 1 8 2 1 1 8 3 1 3 42.041999 -87.788824
23 "Pasadena" "CA" "91107" 8 1 2 2 2 2 2 1 2 3 9 0 7 1 1 2 8 1 3 2 2 5 1 1 1 1 9 1 1 2 1 1 2 7 2 6 2 1 7 1 1 2 3 2 6 6 2 1 1 3 4 2 1 3 4 1 1 2 1 8 2 1 4 7 1 1 1 34.151066 -118.089744
24 "Hartsdale" "NY" "10530" 8 2 1 2 2 2 2 2 1 20 8 4 2 1 11 2 1 1 7 6 7 2 1 1 11 1 1 4 2 7 1 1 2 5 7 5 1 1 7 1 1 2 3 1 2 1 5 5 1 7 4 5 1 4 1 1 3 3 1 6 2 1 4 8 1 2 1 41.025114 -73.806353
25 "weston" "MA" "02193" 4 2 2 2 2 2 2 2 2 1 7 7 2 6 3 2 1 1 7 6 7 5 6 11 5 1 1 1 1 1 1 1 16 1 1 6 2 2 7 3 4 2 3 2 1 1 3 5 1 3 1 2 3 5 1 10 3 5 1 3 2 1 4 8 1 6 7 NA NA
26 "baltimore" "MD" "21239" 4 2 3 2 2 1 2 2 2 20 8 7 1 1 1 3 1 2 3 3 2 2 1 2 3 1 4 1 1 1 8 1 3 0 4 5 2 2 4 3 1 2 3 2 3 6 5 1 1 6 1 2 1 4 1 1 1 3 1 3 2 1 1 7 3 2 6 39.36225 -76.588125
27 "siouxcity" "IA" "51104" 4 1 1 2 2 2 1 2 3 20 8 7 2 1 1 3 1 1 3 3 6 3 1 6 4 1 1 1 3 1 8 1 2 5 3 6 1 1 1 1 3 2 3 2 3 1 5 1 1 2 4 2 3 4 1 1 1 3 1 8 2 1 1 6 1 2 1 42.524145 -96.402926
28 "Sterling" "IL" "61081" 4 1 1 2 2 2 1 2 4 20 8 6 2 1 1 1 1 1 7 4 6 2 1 6 13 3 1 1 1 1 9 1 2 7 3 2 2 2 7 3 1 3 3 2 1 6 6 1 1 3 3 2 1 4 1 2 1 3 1 8 2 1 1 6 2 1 6 41.813776 -89.705373
